station,pri18bv,ver18bv,oto18bv,pri19bv,oto19bv,pri20bv,oto20bv,pri18bm,ver18bm,oto18bm,pri19bm,oto19bm,pri20bm,oto20bm,microhabitat,site,replica
G37,7,6,NA,1,1,1,0,0,2,NA,0,0,0,0,genista,N,3
G38,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,genista,N,3
G39,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,genista,N,3
G310,4,1,NA,0,0,0,0,0,5,NA,0,0,0,0,genista,N,3
E31,1,0,NA,0,0,0,0,0,3,NA,0,0,0,0,juniper,N,3
E32,2,5,NA,3,NA,4,3,0,4,NA,0,NA,0,0,juniper,N,3
E33,3,2,NA,0,0,0,0,0,3,NA,0,0,0,0,juniper,N,3
E34,2,2,NA,1,0,2,0,0,0,NA,1,0,0,0,juniper,N,3
E35,2,2,NA,2,2,2,2,0,1,NA,0,0,0,0,juniper,N,3
E36,1,0,NA,0,0,0,0,0,3,NA,0,0,0,0,juniper,N,3
E37,6,6,NA,4,1,2,6,0,1,NA,0,0,0,0,juniper,N,3
E38,5,2,NA,1,1,1,1,0,1,NA,0,0,0,0,juniper,N,3
E39,1,0,NA,0,0,0,0,0,4,NA,0,0,0,0,juniper,N,3
E310,3,2,NA,0,0,1,0,0,0,NA,0,0,0,0,juniper,N,3
P31,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,open ground,N,3
P32,1,0,NA,0,0,0,0,0,1,NA,0,0,0,0,open ground,N,3
P33,0,0,NA,0,0,0,NA,0,0,NA,0,0,0,NA,open ground,N,3
P34,1,0,NA,0,0,0,0,0,0,NA,0,0,0,0,open ground,N,3
P35,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,open ground,N,3
P36,1,0,NA,0,0,0,0,0,0,NA,0,0,0,0,open ground,N,3
P37,4,0,NA,0,NA,NA,NA,0,2,NA,0,NA,NA,NA,open ground,N,3
P38,0,0,NA,0,0,0,0,0,1,NA,0,0,0,0,open ground,N,3
P39,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,open ground,N,3
P310,1,0,NA,2,0,0,0,0,0,NA,0,0,0,0,open ground,N,3
B31,1,1,NA,1,1,0,0,0,0,NA,0,0,0,0,wet meadow,N,3
B32,1,0,NA,0,0,0,0,0,0,NA,0,0,0,0,wet meadow,N,3
B33,7,0,NA,0,0,0,0,0,0,NA,0,0,0,0,wet meadow,N,3
B34,1,1,NA,1,1,0,0,0,0,NA,0,0,0,0,wet meadow,N,3
B35,2,0,NA,1,1,0,0,0,0,NA,0,0,0,0,wet meadow,N,3
B36,1,0,NA,0,0,0,NA,0,0,NA,0,0,0,NA,wet meadow,N,3
B37,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,wet meadow,N,3
B38,5,0,NA,0,0,0,0,0,0,NA,0,0,0,0,wet meadow,N,3
B39,4,1,NA,0,0,0,0,0,0,NA,0,0,0,0,wet meadow,N,3
B310,0,0,NA,NA,0,0,0,0,0,NA,NA,0,0,0,wet meadow,N,3
R41,10,1,0,0,0,0,0,0,8,5,0,0,0,0,stone,S,4
R42,2,0,0,1,0,0,0,0,0,0,2,0,0,0,stone,S,4
R43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,stone,S,4
R44,2,1,1,0,0,0,0,0,0,0,0,0,0,0,stone,S,4
R45,2,0,0,0,0,0,0,0,0,0,0,0,0,0,stone,S,4
R46,4,0,0,0,0,0,0,0,0,0,0,0,0,0,stone,S,4
R47,0,1,1,0,0,0,0,0,0,0,0,0,0,0,stone,S,4
R48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,stone,S,4
R49,3,0,0,11,0,0,0,0,0,0,0,0,0,0,stone,S,4
R410,2,0,0,0,0,0,0,0,0,0,0,0,0,0,stone,S,4
P41,4,0,0,0,0,0,0,0,0,0,0,0,0,0,open ground,S,4
P42,1,0,0,0,0,0,0,0,3,0,0,0,0,0,open ground,S,4
P43,4,0,0,0,0,0,0,0,3,0,0,0,0,0,open ground,S,4
P44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,open ground,S,4
P45,0,0,0,0,0,0,0,0,3,1,0,0,0,0,open ground,S,4
P46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,open ground,S,4
P47,3,0,0,0,0,NA,0,0,2,3,0,0,NA,0,open ground,S,4
P48,3,0,0,0,0,0,0,0,0,0,0,0,0,0,open ground,S,4
P49,1,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,open ground,S,4
P410,1,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,open ground,S,4
B41,1,0,0,0,0,0,0,0,1,0,0,0,0,0,wet meadow,S,4
B42,NA,0,0,0,0,0,0,NA,0,0,0,0,0,0,wet meadow,S,4
B43,2,0,0,0,0,0,0,0,0,0,0,0,0,0,wet meadow,S,4
B44,3,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,wet meadow,S,4
B45,2,3,0,0,0,0,0,0,0,0,0,0,0,0,wet meadow,S,4
B46,3,1,2,0,0,0,0,0,0,0,0,0,0,0,wet meadow,S,4
B47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,wet meadow,S,4
B48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,wet meadow,S,4
B49,0,0,NA,0,0,0,0,0,0,NA,0,0,0,0,wet meadow,S,4
B410,3,5,6,0,0,0,0,0,1,1,0,0,0,0,wet meadow,S,4
R51,3,1,0,0,0,0,0,0,0,1,0,0,0,0,stone,S,5
R52,3,1,0,0,0,0,0,0,0,0,0,0,0,0,stone,S,5
R53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,stone,S,5
R54,3,0,0,0,0,NA,0,0,2,0,0,0,NA,0,stone,S,5
R55,4,0,0,0,0,0,0,0,2,0,0,0,0,0,stone,S,5
R56,2,0,0,0,0,0,0,0,0,0,0,0,0,0,stone,S,5
R57,1,0,0,0,0,0,0,0,0,0,0,0,0,0,stone,S,5
R58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,stone,S,5
R59,1,0,0,1,1,0,0,0,1,0,0,0,0,0,stone,S,5
R510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,stone,S,5
P51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,open ground,S,5
P52,0,0,0,0,NA,NA,NA,0,0,0,0,NA,NA,NA,open ground,S,5
P53,1,0,0,1,0,0,0,0,0,0,0,0,0,0,open ground,S,5
P54,1,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,open ground,S,5
P55,0,0,0,0,0,NA,0,0,1,0,0,0,NA,0,open ground,S,5
P56,0,0,0,1,0,0,0,0,0,0,0,0,0,0,open ground,S,5
P57,0,0,0,1,0,0,0,0,0,0,0,0,0,0,open ground,S,5
P58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,open ground,S,5
P59,3,0,0,0,0,0,0,0,0,0,0,0,0,0,open ground,S,5
P510,0,0,0,0,0,NA,NA,0,0,0,0,0,NA,NA,open ground,S,5
B51,1,0,1,0,0,0,0,0,0,0,0,0,0,0,wet meadow,S,5
B52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,wet meadow,S,5
B53,0,0,0,0,0,0,NA,0,0,0,0,0,0,NA,wet meadow,S,5
B54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,wet meadow,S,5
B55,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,wet meadow,S,5
B56,0,0,0,0,0,NA,0,0,0,0,0,0,NA,0,wet meadow,S,5
B57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,wet meadow,S,5
B58,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,wet meadow,S,5
B59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,wet meadow,S,5
B510,5,4,0,0,0,0,0,0,0,0,0,0,0,0,wet meadow,S,5
