microhabitat,site,replica,station,germ,pri18,ver18,oto18,pri19,oto19,pri20,oto20,survival
open ground,N,2,P22,pri18,6,6,6,6,6,6,6,0
open ground,N,2,P23,pri18,1,1,1,1,1,1,1,0
open ground,N,2,P24,pri18,1,1,1,1,1,1,1,0
open ground,N,2,P25,pri18,5,5,5,5,5,5,5,0
open ground,N,2,P26,out,NA,NA,NA,NA,NA,NA,NA,NA
open ground,N,2,P27,pri18,1,1,1,1,1,1,1,0
open ground,N,2,P28,out,NA,NA,NA,NA,NA,NA,NA,NA
open ground,N,2,P29,ng,0,0,0,0,0,0,0,0
open ground,N,3,P31,ng,0,0,0,0,0,0,0,0
open ground,N,3,P310,pri18,1,1,1,2,2,2,2,0
open ground,N,3,P32,pri18,1,1,1,1,1,1,1,0
open ground,N,3,P33,ng,0,0,0,0,0,0,0,0
open ground,N,3,P34,pri18,1,1,1,1,1,1,1,0
open ground,N,3,P35,ng,0,0,0,0,0,0,0,0
open ground,N,3,P36,pri18,1,1,1,1,1,1,1,0
open ground,N,3,P37,out,NA,NA,NA,NA,NA,NA,NA,NA
open ground,N,3,P38,ng,0,0,0,0,0,0,0,0
open ground,N,3,P39,ng,0,0,0,0,0,0,0,0
open ground,S,4,P41,pri18,4,4,4,4,4,4,4,0
open ground,S,4,P410,pri18,1,1,1,1,1,1,1,0
open ground,S,4,P42,pri18,1,1,1,1,1,1,1,0
open ground,S,4,P43,pri18,4,4,4,4,4,4,4,0
open ground,S,4,P44,ng,0,0,0,0,0,0,0,0
open ground,S,4,P45,ng,0,0,0,0,0,0,0,0
open ground,S,4,P46,pri18,1,1,1,1,1,1,1,0
open ground,S,4,P47,pri18,3,3,3,3,3,3,3,0
open ground,S,4,P48,pri18,3,3,3,3,3,3,3,0
open ground,S,4,P49,pri18,1,1,1,1,1,1,1,0
open ground,S,5,P51,ng,0,0,0,0,0,0,0,0
open ground,S,5,P510,ng,0,0,0,0,0,0,0,0
open ground,S,5,P52,out,NA,NA,NA,NA,NA,NA,NA,NA
open ground,S,5,P53,pri18,1,0,0,2,2,2,2,0
open ground,S,5,P54,pri18,1,1,1,1,1,1,1,0
open ground,S,5,P55,ng,0,0,0,0,0,0,0,0
open ground,S,5,P56,pri19,0,0,0,1,1,1,1,0
open ground,S,5,P57,pri19,0,0,0,1,1,1,1,0
open ground,S,5,P58,ng,0,0,0,0,0,0,0,0
open ground,S,5,P59,pri18,3,3,3,3,3,3,3,0
stone,N,1,R11,pri18,3,3,3,3,3,3,3,6.67
stone,N,1,R110,pri18,6,6,6,12,12,12,12,26.67
stone,N,1,R12,pri18,9,9,9,9,9,9,9,53.33
stone,N,1,R13,pri18,2,2,2,3,3,3,3,0
stone,N,1,R14,pri18,5,5,5,5,5,5,5,6.67
stone,N,1,R15,pri18,3,3,3,3,3,3,3,0
stone,N,1,R16,pri18,3,3,3,3,3,3,3,0
stone,N,1,R17,pri18,6,6,6,6,6,6,6,0
stone,N,1,R18,pri18,10,10,10,10,10,10,10,0
stone,N,1,R19,pri19,0,0,0,2,2,2,2,0
stone,N,2,R21,pri18,3,3,3,3,3,3,3,0
stone,N,2,R210,pri18,3,3,3,3,3,3,3,0
stone,N,2,R22,pri18,2,2,2,2,2,2,2,0
stone,N,2,R23,pri18,6,6,7,7,7,7,7,0
stone,N,2,R24,pri18,2,2,2,2,2,2,2,13.33
stone,N,2,R25,pri18,15,15,15,15,15,15,15,0
stone,N,2,R26,pri18,11,11,11,11,11,11,11,6.67
stone,N,2,R27,pri18,2,2,2,2,2,2,2,0
stone,N,2,R28,pri18,10,10,10,10,10,10,10,0
stone,N,2,R29,pri18,10,10,10,10,10,10,10,0
stone,N,3,R31,ng,0,0,0,0,0,0,0,0
stone,N,3,R310,pri18,2,2,2,2,2,2,2,0
stone,N,3,R32,pri18,10,10,10,10,10,10,10,0
stone,N,3,R33,mg,0,0,0,0,0,0,0,0
stone,N,3,R34,ng,0,0,0,0,0,0,0,0
stone,N,3,R35,pri18,4,4,4,4,4,4,4,0
stone,N,3,R36,pri18,3,3,3,3,3,3,3,0
stone,N,3,R37,pri18,2,2,2,2,2,2,2,0
stone,N,3,R38,pri18,2,2,2,2,2,2,2,0
stone,N,3,R39,pri18,1,1,1,1,1,1,1,0
stone,S,4,R41,pri18,10,10,10,10,10,10,10,0
stone,S,4,R410,pri18,2,2,2,2,2,2,2,0
stone,S,4,R42,pri18,2,2,2,3,3,3,3,0
stone,S,4,R43,ng,0,0,0,0,0,0,0,0
stone,S,4,R44,pri18,2,2,2,2,2,2,2,0
stone,S,4,R45,pri18,2,2,2,2,2,2,2,0
stone,S,4,R46,pri18,4,4,4,4,4,4,4,0
stone,S,4,R47,ver18,0,1,1,1,1,1,1,0
stone,S,4,R48,ng,0,0,0,0,0,0,0,0
stone,S,4,R49,pri18,3,3,3,11,11,11,11,0
stone,S,5,R51,pri18,3,3,3,3,3,3,3,0
stone,S,5,R510,ng,0,0,0,0,0,0,0,0
stone,S,5,R52,pri18,3,3,3,3,3,3,3,0
stone,S,5,R53,ng,0,0,0,0,0,0,0,0
stone,S,5,R54,pri18,3,3,3,3,3,3,3,0
stone,S,5,R55,pri18,4,4,4,4,4,4,4,0
stone,S,5,R56,pri18,2,2,2,2,2,2,2,0
stone,S,5,R57,pri18,1,1,1,1,1,1,1,0
stone,S,5,R58,ng,0,0,0,0,0,0,0,0
stone,S,5,R59,pri18,1,1,1,2,2,2,2,0
